"EC","Gene","total_genes","present_genes","percent"
"2.7.1.150","PIKFYVE",1,1,100
"3.1.1.13","LIPA",1,1,100
"3.1.4.12","SMPD1",1,1,100
"3.4.16.5","CTSA",1,1,100
"3.4.23.5","CTSD",1,1,100
"3.6.5.2","RAB7A",1,1,100
"7.1.2.2","ATP6V1A",1,1,100
"1.8.3.7","SUMF1",1,0,0
"2.3.1.78","HGSNAT",1,0,0
"2.7.8.17","GNPTAB",1,0,0
"3.1.2.22","PPT1",1,0,0
"3.1.6.12","ARSB",1,0,0
"3.1.6.13","IDS",1,0,0
"3.1.6.14","GNS",1,0,0
"3.1.6.4","GALNS",1,0,0
"3.1.6.8","ARSA",1,0,0
"3.10.1.1","SGSH",1,0,0
"3.2.1.18","NEU1",1,0,0
"3.2.1.20","GAA",1,0,0
"3.2.1.22","GLA",1,0,0
"3.2.1.23","GLB1",1,0,0
"3.2.1.24","MAN2B1",1,0,0
"3.2.1.25","MANBA",1,0,0
"3.2.1.31","GUSB",1,0,0
"3.2.1.35","HYAL1",1,0,0
"3.2.1.46","GALC",1,0,0
"3.2.1.49","NAGA",1,0,0
"3.2.1.50","NAGLU",1,0,0
"3.2.1.51","FUCA1",1,0,0
"3.2.1.52","HEXA; HEXB",2,0,0
"3.2.1.76","IDUA",1,0,0
"3.4.14.1","CTSC",1,0,0
"3.4.14.9","TPP1",1,0,0
"3.4.22.1","CTSB",1,0,0
"3.4.22.38","CTSK",1,0,0
"3.4.22.41","CTSF",1,0,0
"3.5.1.23","ASAH1",1,0,0
"3.5.1.26","AGA",1,0,0
