"EC","total_genes","present_genes","percent"
"1.1.3.15",1,1,100
"1.11.1.6",1,1,100
"1.17.1.4",1,1,100
"1.17.3.2",1,1,100
"1.17.99.3",1,1,100
"1.2.1.84",1,1,100
"1.3.3.6",1,1,100
"2.3.1.176",1,1,100
"2.3.1.42",1,1,100
"2.3.1.7",1,1,100
"2.5.1.26",1,1,100
"2.6.1.44",1,1,100
"2.6.1.45",1,1,100
"2.6.1.51",1,1,100
"2.7.1.36",1,1,100
"2.7.4.2",1,1,100
"4.1.3.4",1,1,100
"4.2.1.107",1,1,100
"4.2.1.119",1,1,100
"5.1.99.4",1,1,100
"6.2.1.3",1,1,100
"7.6.2.4",2,2,100
"1.1.1.42",2,1,50
"1.1.1.35",1,0,0
"1.14.11.18",1,0,0
"2.3.1.65",1,0,0
"3.1.2.2",1,0,0
"3.1.2.27",1,0,0
"4.1.1.9",1,0,0
"4.2.1.17",1,0,0
"5.3.3.8",1,0,0
"7.6.2.8",1,0,0
